Enc Uniprot Accession	Gene Name	Organism	Phylum	Superkingdom	Taxonomy ID	Family 2 (A or B?)	Double Encapsulin?	Double Enc Operon Position	Enc_Neighbor_Accession	Cargo Type	Cysteine Desulfurase Accessions	Terpene Cyclase Accessions	Polyprenyl Transferase Accession	Xylulose Kinase Accession	Split Sequence?	Genome Neighbors (Genome neighborhood index compared to Encapsulin (Negative values are upstream)| Uniprot Accession | Description| Pfam Family)
A0A009GWJ0	J508_1209	Acinetobacter sp. 1289694.	Proteobacteria	Bacteria	1310609	Family 2A				Cysteine Desulfurase	A0A009GJ72					"(-10|A0A009GWJ9|Bacterial regulatory helix-turn-helix, lysR family protein|PF00126-PF03466),(-9|A0A009GJ81|Uncharacterized protein|PF13417-PF14834),(-8|A0A009HEL8|Glutathione S-transferase, C-terminal domain protein|PF00043-PF02798),(-7|A0A009HFL1|Uncharacterized protein|PF09391),(-6|A0A009GFQ4|LysE type translocator family protein|PF01810),(-5|A0A009GWJ5|Bacterial regulatory helix-turn-helix s, AraC family protein|PF02311-PF12833),(-4|A0A009GJ76|Bacterial regulatory helix-turn-helix, lysR family protein|PF00126-PF03466),(-3|A0A009HEL4|Short chain dehydrogenase family protein|PF13561),(-2|A0A009HFK6|Rhodanese-like domain protein|PF00581),(-1|A0A009GFP8|Serine O-acetyltransferase|PF00132),(1|A0A009GJ72|Cysteine desulfurase|PF00266),(2|A0A009HEL0|Uncharacterized protein|none),(3|A0A009HFK4|LysE type translocator family protein|PF01810),(4|A0A009GFP4|Bacterial regulatory helix-turn-helix, lysR family protein|PF00126-PF03466),(5|A0A009GWI7|Putative amino-acid transporter periplasmic solute-binding protein|PF00497),(6|A0A009GJ68|Bacterial extracellular solute-binding s, 3 family protein|PF00497),(7|A0A009HEK6|ABC transporter family protein|PF00005),(8|A0A009HFJ9|Amino ABC transporter, permease, 3-TM region, His/Glu/Gln/Arg/opine family domain protein|PF00528),(9|A0A009GFP0|Amino ABC transporter, permease, 3-TM region, His/Glu/Gln/Arg/opine family domain protein|PF00528),(10|A0A009GWI4|Acetyltransferase family protein|PF14542)"
A0A009HA42	J517_0527	Acinetobacter baumannii 118362.	Proteobacteria	Bacteria	1310618	Family 2A				Cysteine Desulfurase	A0A009GET3					"(-10|A0A009GSG1|Bacterial regulatory s, gntR family protein|PF00155-PF00392),(-9|A0A009GBF9|LrgB-like family protein|PF04172),(-8|A0A009GBI9|LrgA family protein|PF03788),(-7|A0A009GBJ2|Bacterial regulatory helix-turn-helix, lysR family protein|PF00126-PF03466),(-6|A0A009GEV0|Uncharacterized protein|PF13417-PF14834),(-5|A0A009HA20|Glutathione S-transferase, C-terminal domain protein|PF00043-PF02798),(-4|A0A009HBN8|Bacterial regulatory helix-turn-helix, lysR family protein|PF00126-PF03466),(-3|A0A009HBL4|Short chain dehydrogenase family protein|PF13561),(-2|A0A009HBQ7|Rhodanese-like domain protein|PF00581),(-1|A0A009GSG6|Serine O-acetyltransferase|PF00132),(1|A0A009GET3|Cysteine desulfurase|PF00266),(2|A0A009GBA2|LysE type translocator family protein|PF01810),(3|A0A009GEY1|Bacterial regulatory helix-turn-helix, lysR family protein|PF00126-PF03466),(4|A0A009HA99|Uncharacterized protein|none),(5|A0A009GET8|Putative amino-acid transporter periplasmic solute-binding protein|PF00497),(6|A0A009GBF0|Bacterial extracellular solute-binding s, 3 family protein|PF00497),(7|A0A009GF24|ABC transporter family protein|PF00005),(8|A0A009HBS0|Amino ABC transporter, permease, 3-TM region, His/Glu/Gln/Arg/opine family domain protein|PF00528),(9|A0A009GSI7|Amino ABC transporter, permease, 3-TM region, His/Glu/Gln/Arg/opine family domain protein|PF00528),(10|A0A009HA94|Acetyltransferase family protein|PF14542)"
A0A009HS89	J512_1825	Acinetobacter baumannii 1295743.	Proteobacteria	Bacteria	1310613	Family 2A				Cysteine Desulfurase	A0A009IMB5					"(-10|A0A009HSA2|Bacterial regulatory s, gntR family protein|PF00155-PF00392),(-9|A0A009IMC6|LrgB-like family protein|PF04172),(-8|A0A009IPZ3|LrgA family protein|PF03788),(-7|A0A009HNX6|Bacterial regulatory helix-turn-helix, lysR family protein|PF00126-PF03466),(-6|A0A009I5W9|Uncharacterized protein|PF13417-PF14834),(-5|A0A009HS95|Glutathione S-transferase, C-terminal domain protein|PF00043-PF02798),(-4|A0A009IMC0|Bacterial regulatory helix-turn-helix, lysR family protein|PF00126-PF03466),(-3|A0A009IPY8|Short chain dehydrogenase family protein|PF13561),(-2|A0A009HNX1|Rhodanese-like domain protein|PF00581),(-1|A0A009I5W2|Serine O-acetyltransferase|PF00132),(1|A0A009IMB5|Cysteine desulfurase|PF00266),(2|A0A009IPY4|Uncharacterized protein|none),(3|A0A009HNW6|LysE type translocator family protein|PF01810),(4|A0A009I5V7|Bacterial regulatory helix-turn-helix, lysR family protein|PF00126-PF03466),(5|A0A009HS81|Uncharacterized protein|none),(6|A0A009IMB1|Putative amino-acid transporter periplasmic solute-binding protein|PF00497),(7|A0A009IPX9|Bacterial extracellular solute-binding s, 3 family protein|PF00497),(8|A0A009HNW1|ABC transporter family protein|PF00005),(9|A0A009I5V0|Amino ABC transporter, permease, 3-TM region, His/Glu/Gln/Arg/opine family domain protein|PF00528),(10|A0A009HS75|Amino ABC transporter, permease, 3-TM region, His/Glu/Gln/Arg/opine family domain protein|PF00528)"
A0A009HZ71	J507_2606	Acinetobacter sp. 1295259.	Proteobacteria	Bacteria	1310608	Family 2A				Cysteine Desulfurase	A0A009I105					"(-10|A0A009HZ77|Bacterial regulatory s, gntR family protein|PF00155-PF00392),(-9|A0A009I113|LrgB-like family protein|PF04172),(-8|A0A009H0J8|LrgA family protein|PF03788),(-7|A0A009HGR3|Bacterial regulatory helix-turn-helix, lysR family protein|PF00126-PF03466),(-6|A0A009H3V4|Glutathione S-transferase, N-terminal domain protein|PF13417-PF14834),(-5|A0A009HZ74|Glutathione S-transferase, C-terminal domain protein|PF00043-PF02798),(-4|A0A009I108|Bacterial regulatory helix-turn-helix, lysR family protein|PF00126-PF03466),(-3|A0A009H0J3|Polysaccharide biosynthesis family protein|PF13561),(-2|A0A009HGQ9|Rhodanese-like domain protein|PF00581),(-1|A0A009H3U9|Serine acetyltransferase|PF00132-PF06426),(1|A0A009I105|Cysteine desulfurase|PF00266),(2|A0A009H0I9|LysE type translocator family protein|PF01810),(3|A0A009HGQ4|Bacterial regulatory helix-turn-helix, lysR family protein|PF00126-PF03466),(4|A0A009H3U6|Putative amino-acid transporter periplasmic solute-binding protein|PF00497),(5|A0A009HZ68|Bacterial extracellular solute-binding s, 3 family protein|PF00497),(6|A0A009I101|ABC transporter family protein|PF00005),(7|A0A009H0I6|Amino ABC transporter, permease, 3-TM region, His/Glu/Gln/Arg/opine family domain protein|PF00528),(8|A0A009HGQ0|Amino ABC transporter, permease, 3-TM region, His/Glu/Gln/Arg/opine family domain protein|PF00528),(9|A0A009H3U1|Acetyltransferase family protein|PF14542),(10|A0A009HZ62|Bacterial regulatory s, luxR family protein|PF00072-PF00196)"
A0A009JP06	J518_2036	Acinetobacter baumannii 1419130.	Proteobacteria	Bacteria	1310619	Family 2A				Cysteine Desulfurase	A0A009KQB3					"(-10|A0A009JNZ8|Bacterial regulatory s, gntR family protein|PF00155-PF00392),(-9|A0A009KQA3|LrgB-like family protein|PF04172),(-8|A0A009KLU3|LrgA family protein|PF03788),(-7|A0A009JR90|Bacterial regulatory helix-turn-helix, lysR family protein|PF00126-PF03466),(-6|A0A009K6E7|Uncharacterized protein|PF13417-PF14834),(-5|A0A009JP02|Glutathione S-transferase, C-terminal domain protein|PF00043-PF02798),(-4|A0A009KQA8|Bacterial regulatory helix-turn-helix, lysR family protein|PF00126-PF03466),(-3|A0A009KLU8|Short chain dehydrogenase family protein|PF13561),(-2|A0A009JR96|Rhodanese-like domain protein|PF00581),(-1|A0A009K6F2|Serine acetyltransferase|PF00132-PF06426),(1|A0A009KQB3|Cysteine desulfurase|PF00266),(2|A0A009KLV4|Uncharacterized protein|none),(3|A0A009JRA0|LysE type translocator family protein|PF01810),(4|A0A009K6F7|Bacterial regulatory helix-turn-helix, lysR family protein|PF00126-PF03466),(5|A0A009JP11|Putative amino-acid transporter periplasmic solute-binding protein|PF00497),(6|A0A009KQB9|Bacterial extracellular solute-binding s, 3 family protein|PF00497),(7|A0A009KLV8|ABC transporter family protein|PF00005),(8|A0A009JRA7|Amino ABC transporter, permease, 3-TM region, His/Glu/Gln/Arg/opine family domain protein|PF00528),(9|A0A009K6G2|Amino ABC transporter, permease, 3-TM region, His/Glu/Gln/Arg/opine family domain protein|PF00528),(10|A0A009JP16|Acetyltransferase family protein|PF14542)"
A0A009KUP5	J522_0850	Acinetobacter baumannii 146457.	Proteobacteria	Bacteria	1310623	Family 2A				Cysteine Desulfurase	A0A009LAI7					"(-10|A0A009KUN1|Uncharacterized protein|none),(-9|A0A009LAH6|FAD-linked oxidoreductase family protein|PF01565-PF04030),(-8|A0A009KST7|Neutral ceramidase|PF04734),(-7|A0A009LVE9|Bacterial regulatory helix-turn-helix s, AraC family protein|PF12625-PF12833),(-6|A0A009LQ48|Alpha-ketoglutarate-dependent taurine dioxygenase|PF02668),(-5|A0A009KUN7|Binding--dependent transport system inner membrane component family protein|PF00528),(-4|A0A009LAI0|ABC transporter family protein|PF00005),(-3|A0A009KSU3|Taurine ABC transporter, periplasmic binding protein|PF09084),(-2|A0A009LVF3|Rhodanese-like domain protein|PF00581),(-1|A0A009LQ55|Serine O-acetyltransferase|PF00132),(1|A0A009LAI7|Cysteine desulfurase|PF00266),(2|A0A009KSV2|LysE type translocator family protein|PF01810),(3|A0A009LVF7|Bacterial regulatory helix-turn-helix, lysR family protein|PF00126-PF03466),(4|A0A009LQ63|DeoR-like helix-turn-helix domain protein|PF00392-PF07702),(5|A0A009KUQ0|Pyridine nucleotide-disulfide oxidoreductase family protein|PF00890-PF02910),(6|A0A009LAJ3|4Fe-4S binding domain protein|PF12838),(7|A0A009KSV8|NMT1-like family protein|PF09084),(8|A0A009LVG3|Binding--dependent transport system inner membrane component family protein|PF00528),(9|A0A009LQ70|ABC transporter family protein|PF00005),(10|A0A009KUQ7|HEAT repeats family protein|PF02985-PF13646)"
A0A009NKV2	J551_1881	Acinetobacter sp. 1475718.	Proteobacteria	Bacteria	1310652	Family 2A				Cysteine Desulfurase	A0A009MIE7					"(-10|A0A009NKV9|Bacterial regulatory helix-turn-helix, lysR family protein|PF00126-PF03466),(-9|A0A009MIF6|Uncharacterized protein|PF13417-PF14834),(-8|A0A009N0M0|Glutathione S-transferase, C-terminal domain protein|PF00043-PF02798),(-7|A0A009MJK5|Uncharacterized protein|PF09391),(-6|A0A009NE47|LysE type translocator family protein|PF01810),(-5|A0A009NKV6|Bacterial regulatory helix-turn-helix s, AraC family protein|PF02311-PF12833),(-4|A0A009MIF0|Bacterial regulatory helix-turn-helix, lysR family protein|PF00126-PF03466),(-3|A0A009N0L4|Short chain dehydrogenase family protein|PF13561),(-2|A0A009MJJ8|Rhodanese-like domain protein|PF00581),(-1|A0A009NE40|Serine O-acetyltransferase|PF00132),(1|A0A009MIE7|Cysteine desulfurase|PF00266),(2|A0A009N0K8|Uncharacterized protein|none),(3|A0A009MJJ2|LysE type translocator family protein|PF01810),(4|A0A009NE32|Bacterial regulatory helix-turn-helix, lysR family protein|PF00126-PF03466),(5|A0A009NKU6|Putative amino-acid transporter periplasmic solute-binding protein|PF00497),(6|A0A009MIE4|Bacterial extracellular solute-binding s, 3 family protein|PF00497),(7|A0A009N0K2|ABC transporter family protein|PF00005),(8|A0A009MJI5|Amino ABC transporter, permease, 3-TM region, His/Glu/Gln/Arg/opine family domain protein|PF00528),(9|A0A009NE26|Amino ABC transporter, permease, 3-TM region, His/Glu/Gln/Arg/opine family domain protein|PF00528),(10|A0A009NKU0|Acetyltransferase family protein|PF14542)"
A0A009QL12	J506_1611	Acinetobacter baumannii 625974.	Proteobacteria	Bacteria	1310607	Family 2A				Cysteine Desulfurase	A0A009QCT4					"(-10|A0A009QL01|Bacterial regulatory s, gntR family protein|PF00155-PF00392),(-9|A0A009QCS4|LrgB-like family protein|PF04172),(-8|A0A009PI13|LrgA family protein|PF03788),(-7|A0A009PZW5|Bacterial regulatory helix-turn-helix, lysR family protein|PF00126-PF03466),(-6|A0A009PG82|Glutathione S-transferase, N-terminal domain protein|PF13417-PF14834),(-5|A0A009QL05|Glutathione S-transferase, C-terminal domain protein|PF00043-PF02798),(-4|A0A009QCS9|Bacterial regulatory helix-turn-helix, lysR family protein|PF00126-PF03466),(-3|A0A009PI18|Short chain dehydrogenase family protein|PF13561),(-2|A0A009PZX1|Rhodanese-like domain protein|PF00581),(-1|A0A009PG88|Serine acetyltransferase|PF00132-PF06426),(1|A0A009QCT4|Cysteine desulfurase|PF00266),(2|A0A009PI27|LysE type translocator family protein|PF01810),(3|A0A009PZX7|Bacterial regulatory helix-turn-helix, lysR family protein|PF00126-PF03466),(4|A0A009PG96|Uncharacterized protein|none),(5|A0A009QL19|Putative amino-acid transporter periplasmic solute-binding protein|PF00497),(6|A0A009QCT9|Putative amino-acid transporter periplasmic solute-binding protein|PF00497),(7|A0A009PI34|ABC transporter family protein|PF00005),(8|A0A009PZY4|Amino ABC transporter, permease, 3-TM region, His/Glu/Gln/Arg/opine family domain protein|PF00528),(9|A0A009PGA4|Amino ABC transporter, permease, 3-TM region, His/Glu/Gln/Arg/opine family domain protein|PF00528),(10|A0A009QL25|Acetyltransferase family protein|PF14542)"
A0A009RQJ3	J536_0797	Acinetobacter sp. 809848.	Proteobacteria	Bacteria	1310637	Family 2A				Cysteine Desulfurase	A0A009QVB6					"(-10|A0A009RQI5|Bacterial regulatory helix-turn-helix, lysR family protein|PF00126-PF03466),(-9|A0A009QVA8|Glutathione S-transferase, N-terminal domain protein|PF13417-PF14834),(-8|A0A009RCP0|Glutathione S-transferase, C-terminal domain protein|PF00043-PF02798),(-7|A0A009QT29|Uncharacterized protein|PF09391),(-6|A0A009RYG1|LysE type translocator family protein|PF01810),(-5|A0A009RQI8|Bacterial regulatory helix-turn-helix s, AraC family protein|PF02311-PF12833),(-4|A0A009QVB2|Bacterial regulatory helix-turn-helix, lysR family protein|PF00126-PF03466),(-3|A0A009RCP5|Polysaccharide biosynthesis family protein|PF13561),(-2|A0A009QT34|Rhodanese-like domain protein|PF00581),(-1|A0A009RYG5|Serine acetyltransferase|PF00132-PF06426),(1|A0A009QVB6|Cysteine desulfurase|PF00266),(2|A0A009RCQ1|LysE type translocator family protein|PF01810),(3|A0A009QT37|Bacterial regulatory helix-turn-helix, lysR family protein|PF00126-PF03466),(4|A0A009RYG9|Putative amino-acid transporter periplasmic solute-binding protein|PF00497),(5|A0A009RQJ7|Bacterial extracellular solute-binding s, 3 family protein|PF00497),(6|A0A009QVC0|ABC transporter family protein|PF00005),(7|A0A009RCQ4|Amino ABC transporter, permease, 3-TM region, His/Glu/Gln/Arg/opine family domain protein|PF00528),(8|A0A009QT41|Amino ABC transporter, permease, 3-TM region, His/Glu/Gln/Arg/opine family domain protein|PF00528),(9|A0A009RYH3|Acetyltransferase family protein|PF14542),(10|A0A009RQJ9|Bacterial regulatory s, luxR family protein|PF00072-PF00196)"
A0A009SE17	J552_0864	Acinetobacter baumannii 951631.	Proteobacteria	Bacteria	1310653	Family 2A				Cysteine Desulfurase	A0A009SMP3					"(-10|A0A009SE26|Bacterial regulatory s, gntR family protein|PF00155-PF00392),(-9|A0A009SMQ4|LrgB-like family protein|PF04172),(-8|A0A009RGK0|LrgA family protein|PF03788),(-7|A0A009S1A2|Bacterial regulatory helix-turn-helix, lysR family protein|PF00126-PF03466),(-6|A0A009RID2|Uncharacterized protein|PF13417-PF14834),(-5|A0A009SE21|Glutathione S-transferase, C-terminal domain protein|PF00043-PF02798),(-4|A0A009SMQ0|Bacterial regulatory helix-turn-helix, lysR family protein|PF00126-PF03466),(-3|A0A009RGJ5|Short chain dehydrogenase family protein|PF13561),(-2|A0A009S195|Rhodanese-like domain protein|PF00581),(-1|A0A009RIC8|Serine acetyltransferase|PF00132-PF06426),(1|A0A009SMP3|Cysteine desulfurase|PF00266),(2|A0A009RGJ0|Uncharacterized protein|none),(3|A0A009S188|LysE type translocator family protein|PF01810),(4|A0A009RIC4|Bacterial regulatory helix-turn-helix, lysR family protein|PF00126-PF03466),(5|A0A009SE11|Putative amino-acid transporter periplasmic solute-binding protein|PF00497),(6|A0A009SMN8|Bacterial extracellular solute-binding s, 3 family protein|PF00497),(7|A0A009RGI3|ABC transporter family protein|PF00005),(8|A0A009S181|Amino ABC transporter, permease, 3-TM region, His/Glu/Gln/Arg/opine family domain protein|PF00528),(9|A0A009RIB8|Amino ABC transporter, permease, 3-TM region, His/Glu/Gln/Arg/opine family domain protein|PF00528),(10|A0A009SE06|Acetyltransferase family protein|PF14542)"
